customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,clt_categories,predicted_income,final_income
7142.54905,24417,185,22,25,0,1,888.0,Very Low,31535.0,24417.0
5469.542959,67099,69,11,24,0,6,22.995594,Very Low,27972.0,67099.0
11628.73401,97830,96,3,61,0,2,298.362415,Very Low,20252.0,97830.0
10189.65429,0,101,15,90,0,2,727.2,Very Low,25905.0,25905.0
2733.431887,93558,67,19,5,0,1,478.234236,Very Low,21442.0,93558.0
4014.453113,37384,99,9,17,0,1,475.2,Very Low,34516.0,37384.0
7119.531925,28227,62,14,24,0,2,551.28213,Very Low,15462.0,28227.0
11772.79068,51008,74,5,95,0,2,355.2,Very Low,37722.0,51008.0
2381.790787,78185,61,23,54,0,1,292.8,Very Low,32021.0,78185.0
5208.35385,0,74,35,2,0,3,532.8,Very Low,13393.0,13393.0
5018.727893,0,68,34,68,0,4,670.47746,Very Low,13624.0,13624.0
11900.54484,97205,100,22,40,2,2,5.573179,Very Low,27800.0,97205.0
7399.032079,0,101,28,34,0,6,337.617149,Very Low,31670.0,31670.0
5674.381244,26225,72,18,25,1,7,320.777404,Very Low,23638.0,26225.0
7271.43404,20545,70,23,86,0,2,336.0,Very Low,36225.0,20545.0
3164.494011,0,83,20,32,0,1,398.4,Very Low,20588.0,20588.0
2661.033435,35503,67,14,95,0,1,216.173135,Very Low,41458.0,35503.0
14140.55885,58988,118,3,76,0,2,566.4,Very Low,28919.0,58988.0
7654.227067,0,74,16,89,1,2,355.2,Very Low,35654.0,35654.0
2199.73952,0,64,21,5,0,1,685.456738,Very Low,25963.0,25963.0
2004.350666,0,66,16,35,4,1,316.8,Very Low,23377.0,23377.0
13111.11319,67197,111,2,9,0,2,147.948783,Very Low,55350.0,67197.0
15762.60349,39032,198,31,15,0,7,950.4,Very Low,28215.0,39032.0
13197.92893,0,68,19,2,3,2,326.4,Very Low,24631.0,24631.0
2787.539793,34927,70,5,2,0,1,242.491357,Very Low,28523.0,34927.0
3436.134281,30817,88,25,43,0,1,91.834668,Very Low,37995.0,30817.0
2713.36798,31535,70,27,46,0,1,90.525716,Very Low,36631.0,31535.0
2867.312197,23376,78,19,18,0,1,374.4,Very Low,24721.0,23376.0
14590.24583,46244,62,8,3,0,2,255.285875,Very Low,38183.0,46244.0
6652.474492,34886,84,3,40,0,5,403.2,Very Low,52380.0,34886.0
2444.621056,0,66,27,51,0,1,316.8,Very Low,23504.0,23504.0
11314.24394,62935,141,29,27,0,7,232.242326,Very Low,11489.0,62935.0
10972.06778,24164,137,2,40,0,5,657.6,Very Low,14321.0,24164.0
3189.66703,0,87,6,3,0,1,760.428495,Very Low,55005.0,55005.0
19357.37201,0,68,20,66,1,2,326.4,Low,38898.0,38898.0
7227.120364,40153,61,1,99,0,2,340.07498,Very Low,39621.0,40153.0
7857.303868,0,104,12,7,0,3,499.2,Very Low,79751.0,79751.0
5181.620895,97131,64,5,80,0,6,307.2,Very Low,20407.0,97131.0
4281.062223,23712,106,2,12,0,1,508.8,Very Low,48791.0,23712.0
11513.16291,0,64,26,72,0,2,307.2,Very Low,54094.0,54094.0
5147.11023,33171,65,27,17,0,3,236.643695,Very Low,20132.0,33171.0
8663.497618,0,83,18,90,1,2,398.4,Very Low,20961.0,20961.0
2535.321683,0,68,24,73,0,1,326.4,Very Low,54817.0,54817.0
21504.3388,60228,112,23,28,1,2,286.102971,Low,46814.0,60228.0
7349.32849,27072,93,24,27,0,8,565.336931,Very Low,14616.0,27072.0
8509.850887,26057,74,3,63,0,2,523.888845,Very Low,22139.0,26057.0
4297.189057,66331,107,0,74,0,1,513.6,Very Low,27972.0,66331.0
2778.323903,66030,69,33,19,1,1,282.153792,Very Low,24743.0,66030.0
5532.863336,59768,71,6,93,1,3,340.8,Very Low,26245.0,59768.0
17476.64139,45106,73,22,21,0,2,350.4,Very Low,21299.0,45106.0
10479.89966,78435,130,11,19,0,4,553.61131,Very Low,52266.0,78435.0
2242.574431,0,63,31,99,1,1,453.6,Very Low,13424.0,13424.0
2754.45676,79507,70,7,17,3,1,442.199439,Very Low,28095.0,79507.0
8041.20055,44986,101,14,83,0,3,624.023564,Very Low,49185.0,44986.0
6042.9119,25899,79,10,11,0,8,568.8,Very Low,48207.0,25899.0
2827.43885,13610,74,7,64,0,1,355.2,Very Low,50470.0,13610.0
22041.85643,0,65,11,15,0,2,312.0,Low,35482.0,35482.0
2796.802191,77362,70,14,25,0,1,386.599797,Very Low,23604.0,77362.0
4072.849436,96443,102,1,17,0,1,489.6,Very Low,12439.0,96443.0
5182.462266,0,135,2,41,1,1,939.528475,Very Low,25998.0,25998.0
6131.663176,90778,76,31,29,0,7,62.291009,Very Low,79814.0,90778.0
2392.13114,0,65,11,62,0,1,361.181122,Very Low,11822.0,11822.0
3209.663044,78494,79,6,40,0,1,122.305677,Very Low,26100.0,78494.0
2808.606027,83497,69,28,15,0,1,196.523187,Very Low,43478.0,83497.0
4362.931238,58842,110,6,74,0,1,528.0,Very Low,48567.0,58842.0
6880.468875,63935,87,20,63,0,6,221.61885,Very Low,34337.0,63935.0
3591.066675,0,96,5,35,0,1,460.8,Very Low,20394.0,20394.0
5201.252168,0,69,1,79,0,4,331.2,Very Low,31617.0,31617.0
5521.542577,0,77,20,89,0,9,369.6,Very Low,21104.0,21104.0
5071.651522,62258,65,14,17,0,5,117.450428,Very Low,36116.0,62258.0
2921.681366,0,80,10,81,0,1,739.310493,Very Low,25023.0,25023.0
15806.53397,58516,98,14,75,0,2,470.4,Very Low,14108.0,58516.0
4942.630606,23285,65,30,22,0,7,118.446235,Very Low,12470.0,23285.0
4167.419574,56901,104,29,82,0,1,499.2,Very Low,22705.0,56901.0
6514.954043,0,61,12,75,1,2,292.8,Very Low,50825.0,50825.0
9189.518267,99443,117,6,6,4,5,228.049424,Very Low,14616.0,99443.0
8231.223361,0,113,4,70,0,4,373.073162,Very Low,19429.0,19429.0
3095.175379,88246,77,3,27,1,1,428.608683,Very Low,58789.0,88246.0
74228.51604,0,242,1,34,0,2,1742.4,Very High,29491.0,29491.0
7582.113842,64801,64,23,19,0,2,268.471802,Very Low,12780.0,64801.0
16344.60809,57029,68,24,97,0,2,135.788525,Very Low,49734.0,57029.0
11763.15249,28045,99,7,99,0,2,475.2,Very Low,78618.0,28045.0
4053.373793,44661,101,2,1,0,1,436.836944,Very Low,82664.0,44661.0
3311.15793,21246,83,19,51,0,1,398.4,Very Low,23053.0,21246.0
3528.044252,31278,92,24,95,4,1,441.6,Very Low,50250.0,31278.0
5595.389905,74454,71,25,29,0,3,340.8,Very Low,32169.0,74454.0
5089.694325,62474,63,20,63,0,5,112.120881,Very Low,37224.0,62474.0
22337.1631,0,130,9,43,0,2,1376.910777,Low,20978.0,20978.0
4792.830533,20647,63,17,10,0,7,185.061408,Very Low,17576.0,20647.0
27789.69235,33806,89,32,59,0,2,395.729716,Low,24495.0,33806.0
7511.660568,0,70,9,96,0,2,340.201412,Very Low,29540.0,29540.0
18767.55161,0,111,13,55,0,2,900.14526,Low,16916.0,16916.0
4987.643113,19589,127,26,44,0,1,1027.010512,Very Low,18375.0,19589.0
5123.196814,22338,67,9,37,1,9,307.801098,Very Low,17150.0,22338.0
5989.773931,66839,154,33,24,0,1,739.2,Very Low,23815.0,66839.0
5185.797582,99428,64,16,25,1,5,48.046869,Very Low,21947.0,99428.0
5828.1822,31364,74,28,47,0,3,461.269135,Very Low,89451.0,31364.0
13755.54279,15340,121,12,47,0,2,686.501976,Very Low,48993.0,15340.0
9767.936882,36225,123,7,84,0,8,221.048602,Very Low,88454.0,36225.0
12097.91224,0,107,18,79,0,2,271.014511,Very Low,20943.0,20943.0
2265.318569,0,61,5,21,0,1,292.8,Very Low,35434.0,35434.0
5719.088678,77601,71,27,48,0,6,276.640352,Very Low,26585.0,77601.0
10171.47779,74243,84,34,2,0,2,71.311211,Very Low,23751.0,74243.0
10517.15638,46707,133,7,9,0,8,80.70505,Very Low,31213.0,46707.0
4303.471379,0,116,6,63,0,1,765.566699,Very Low,29070.0,29070.0
11926.75329,50234,101,12,1,0,2,484.8,Very Low,16450.0,50234.0
16531.70376,75526,103,26,68,1,2,494.4,Very Low,24726.0,75526.0
13579.29911,0,193,30,38,0,7,1610.261914,Very Low,52651.0,52651.0
5437.443727,28343,69,19,88,0,8,331.2,Very Low,62488.0,28343.0
5103.296644,74948,64,23,43,0,8,216.744457,Very Low,55837.0,74948.0
4583.100889,22728,116,28,81,0,1,556.8,Very Low,11896.0,22728.0
6409.627461,0,99,14,48,2,9,712.8,Very Low,64125.0,64125.0
8991.98452,17331,117,13,39,0,6,1138.255325,Very Low,21576.0,17331.0
12232.77625,35133,102,2,31,0,2,692.962785,Very Low,27849.0,35133.0
5126.038871,63147,64,1,91,0,4,87.565229,Very Low,37433.0,63147.0
11014.1636,67575,91,27,85,0,2,401.60781,Very Low,34498.0,67575.0
3819.619502,0,111,29,76,0,1,799.2,Very Low,23228.0,23228.0
8404.395122,48315,71,34,56,0,2,340.8,Very Low,40864.0,48315.0
9035.671134,34337,113,20,44,0,9,542.4,Very Low,46133.0,34337.0
5453.707634,33818,72,6,34,4,3,341.878002,Very Low,46900.0,33818.0
3766.366587,22439,98,30,63,0,1,470.4,Very Low,53390.0,22439.0
7283.934392,79055,186,32,24,1,1,177.635183,Very Low,46814.0,79055.0
2745.249838,45191,69,18,34,0,1,330.782934,Very Low,23629.0,45191.0
2626.279436,41990,66,23,19,0,1,316.8,Very Low,22976.0,41990.0
2456.816647,50979,61,25,45,1,1,262.842655,Very Low,32818.0,50979.0
8453.677668,59888,106,6,14,0,3,712.682559,Very Low,42360.0,59888.0
3508.569533,20978,98,19,96,1,1,1176.2788,Very Low,12131.0,20978.0
2877.354255,32807,73,10,10,0,1,350.4,Very Low,33317.0,32807.0
7840.165778,58414,210,7,24,2,1,1008.0,Very Low,68931.0,58414.0
2771.045031,50071,71,3,32,0,1,18.918935,Very Low,19189.0,50071.0
5339.488286,67796,69,7,24,4,8,331.2,Very Low,27383.0,67796.0
6837.536476,90750,170,30,47,0,1,746.0459,Very Low,33124.0,90750.0
13024.13012,0,125,6,61,0,2,900.0,Very Low,34628.0,34628.0
5659.238384,69387,71,16,37,0,3,71.517444,Very Low,21835.0,69387.0
5532.462342,29084,71,14,59,1,3,492.088331,Very Low,22699.0,29084.0
7943.513275,60214,100,8,16,1,4,291.287905,Very Low,70059.0,60214.0
9774.605777,96018,122,8,60,0,3,390.88142,Very Low,24030.0,96018.0
13596.19972,20128,70,28,10,2,2,336.0,Very Low,31562.0,20128.0
23208.39416,60233,116,29,63,0,2,481.265179,Low,24477.0,60233.0
7325.892726,52920,93,18,95,0,3,1101.05432,Very Low,20046.0,52920.0
4170.340729,90310,104,9,39,0,1,166.355491,Very Low,37709.0,90310.0
7840.165778,58414,210,7,24,2,1,1008.0,Very Low,21442.0,58414.0
17786.2778,99790,64,24,8,0,2,178.986788,Very Low,26056.0,99790.0
19378.9078,21159,73,35,14,0,2,350.4,Low,77350.0,21159.0
2638.140052,79699,65,24,12,0,1,348.82656,Very Low,32375.0,79699.0
9148.877887,68236,114,2,75,0,6,20.725611,Very Low,54094.0,68236.0
13770.97618,59207,116,23,21,0,2,556.8,Very Low,43811.0,59207.0
10515.96779,21499,135,34,28,1,3,648.0,Very Low,75648.0,21499.0
5821.684337,77563,143,35,58,0,1,545.999699,Very Low,21238.0,77563.0
3095.803437,33415,78,15,44,0,1,374.4,Very Low,29539.0,33415.0
10598.54249,20179,133,29,0,1,5,638.4,Very Low,24666.0,20179.0
7695.122957,50147,101,4,37,0,3,484.8,Very Low,31275.0,50147.0
6819.23119,22492,85,34,88,0,7,61.654262,Very Low,63774.0,22492.0
8689.822524,0,99,25,57,5,2,475.2,Very Low,33604.0,33604.0
8131.779152,93715,102,9,43,2,4,254.83769,Very Low,67134.0,93715.0
3815.321577,23540,103,30,23,2,1,494.4,Very Low,25703.0,23540.0
11638.89947,25370,102,10,77,0,2,489.6,Very Low,20181.0,25370.0
22800.53543,68771,96,10,70,0,2,276.268778,Low,21277.0,68771.0
4462.997006,0,73,35,52,3,5,350.4,Very Low,22944.0,22944.0
13151.83203,68562,108,29,52,0,2,228.498823,Very Low,24475.0,68562.0
14019.97546,36733,71,21,28,0,2,327.078047,Very Low,58166.0,36733.0
2931.155192,45768,73,33,27,0,1,191.934494,Very Low,58289.0,45768.0
4774.751709,0,64,34,47,0,7,307.2,Very Low,32051.0,32051.0
8471.417471,63513,70,13,76,0,2,185.667213,Very Low,50450.0,63513.0
5431.219117,58161,68,19,19,0,5,140.747286,Very Low,22139.0,58161.0
5689.644114,83640,70,20,13,0,4,471.050488,Very Low,19098.0,83640.0
3686.723847,0,96,2,88,0,1,28.460568,Very Low,27179.0,27179.0
3992.583886,0,111,35,68,0,1,700.349052,Very Low,29256.0,29256.0
3479.137523,0,104,13,29,0,1,499.2,Very Low,62989.0,62989.0
2502.637401,0,66,8,11,0,1,3.468912,Very Low,45345.0,45345.0
3265.156348,25820,82,10,69,0,1,393.6,Very Low,25630.0,25820.0
4455.843406,0,121,16,64,0,1,699.615192,Very Low,22280.0,22280.0
7704.95848,30366,101,25,13,2,3,484.8,Very Low,21104.0,30366.0
2750.705045,51789,70,8,34,0,1,336.0,Very Low,20495.0,51789.0
13024.13012,0,125,6,61,0,2,900.0,Very Low,10511.0,10511.0
2538.62632,18608,71,13,24,0,1,340.8,Very Low,40982.0,18608.0
2585.955652,83758,64,27,34,0,1,106.591949,Very Low,13449.0,83758.0
5096.673223,22886,65,9,81,0,3,312.0,Very Low,23867.0,22886.0
10083.48688,11828,90,18,84,0,2,571.479602,Very Low,21853.0,11828.0
4943.386117,44762,62,14,11,0,6,114.51444,Very Low,44222.0,44762.0
6516.214888,0,175,12,60,0,1,1221.143438,Very Low,31993.0,31993.0
8838.085637,82664,114,24,10,3,9,133.425609,Very Low,33288.0,82664.0
3810.238281,0,108,7,57,0,1,777.6,Very Low,33871.0,33871.0
6334.466403,0,63,1,21,0,2,302.4,Very Low,34075.0,34075.0
11665.09779,84978,72,12,51,1,2,166.77296,Very Low,26334.0,84978.0
10972.06778,24164,137,2,40,0,5,657.6,Very Low,55911.0,24164.0
6006.963446,0,80,5,10,0,8,488.910614,Very Low,24641.0,24641.0
2656.713092,62777,67,34,32,0,1,101.288069,Very Low,22828.0,62777.0
2359.423599,19864,63,22,96,0,1,352.394515,Very Low,28729.0,19864.0
12036.62051,44428,104,17,61,0,2,499.2,Very Low,43278.0,44428.0
8467.387317,21139,113,15,93,0,5,656.798232,Very Low,20284.0,21139.0
9392.557553,0,88,4,52,0,2,851.146266,Very Low,54292.0,54292.0
5227.230377,11896,69,29,57,0,5,476.254583,Very Low,22436.0,11896.0
2693.75925,0,73,35,87,1,1,350.4,Very Low,24711.0,24711.0
2227.072755,27972,61,7,38,0,1,292.8,Very Low,18746.0,27972.0
2326.864833,0,62,26,98,0,1,624.711448,Very Low,33175.0,33175.0
16794.31422,38399,106,12,6,0,2,368.890904,Very Low,25866.0,38399.0
5016.827946,20868,63,19,13,0,8,134.629643,Very Low,60798.0,20868.0
7757.924239,49682,101,30,49,0,3,198.84453,Very Low,28887.0,49682.0
8609.158215,79090,107,2,74,0,3,289.040734,Very Low,25143.0,79090.0
5275.056933,81850,132,1,75,0,1,429.860895,Very Low,24695.0,81850.0
5746.32619,22906,76,17,27,0,8,519.883102,Very Low,60475.0,22906.0
2705.987629,0,83,15,85,1,1,398.4,Very Low,31991.0,31991.0
6186.265217,37138,83,12,1,2,9,417.28389,Very Low,37695.0,37138.0
22445.28088,0,71,32,35,0,2,511.2,Low,18375.0,18375.0
6277.844624,21024,82,32,8,1,9,450.129276,Very Low,13662.0,21024.0
7215.821106,0,103,25,80,0,9,741.6,Very Low,37386.0,37386.0
6514.430592,77135,84,3,37,3,8,98.372265,Very Low,25899.0,77135.0
34708.87261,0,109,3,19,0,2,718.700718,Moderate,33201.0,33201.0
4216.19522,0,114,3,70,0,1,820.8,Very Low,18287.0,18287.0
13158.37206,72845,108,13,28,0,2,463.000336,Very Low,20416.0,72845.0
2917.539465,51622,74,29,32,0,1,355.2,Very Low,25714.0,51622.0
6355.678846,0,61,25,79,0,2,292.8,Very Low,27504.0,27504.0
13269.59942,15616,114,20,96,1,2,547.2,Very Low,45360.0,15616.0
5880.256499,0,82,31,25,0,8,590.4,Very Low,49078.0,49078.0
5926.729379,23091,96,28,90,5,5,460.8,Very Low,39783.0,23091.0
4121.252137,0,67,7,8,3,3,482.4,Very Low,26312.0,26312.0
7956.152761,22699,74,11,76,4,2,355.2,Very Low,33554.0,22699.0
24127.50402,14072,71,13,3,0,2,511.2,Low,24445.0,14072.0
26864.20332,81713,74,0,41,0,2,332.224293,Low,25963.0,81713.0
31934.62164,56516,199,26,46,0,2,955.2,Low,26411.0,56516.0
5132.684537,0,73,21,31,0,3,525.6,Very Low,34886.0,34886.0
4759.624343,26747,61,11,44,0,3,404.074203,Very Low,22000.0,26747.0
2637.942355,63422,66,8,68,0,1,355.922452,Very Low,25404.0,63422.0
6503.397049,22081,84,1,9,0,6,451.670309,Very Low,43259.0,22081.0
12786.66898,0,180,14,70,0,4,1296.0,Very Low,75648.0,75648.0
3147.973444,29698,83,17,89,2,1,215.884804,Very Low,25572.0,29698.0
5618.485357,24518,74,23,62,0,3,241.656325,Very Low,48567.0,24518.0
3230.576665,62873,81,0,41,0,1,207.75186,Very Low,44712.0,62873.0
7434.675149,28377,94,26,99,0,3,451.2,Very Low,50117.0,28377.0
11714.78278,21102,100,0,81,0,2,480.0,Very Low,22828.0,21102.0
2009.772923,0,65,12,57,2,1,312.0,Very Low,20868.0,20868.0
6625.472768,0,88,2,43,0,3,539.280951,Very Low,26840.0,26840.0
9567.711298,81410,119,8,86,0,7,221.188327,Very Low,49706.0,81410.0
18474.71111,27869,67,18,59,0,2,482.4,Low,23277.0,27869.0
12157.32992,57449,103,6,28,0,2,494.4,Very Low,11612.0,57449.0
2956.358303,40901,74,2,36,0,1,13.628274,Very Low,36268.0,40901.0
3963.394851,88701,99,7,4,0,1,171.830049,Very Low,41459.0,88701.0
10896.04838,29365,137,14,78,0,7,657.6,Very Low,40864.0,29365.0
6081.048248,0,82,26,33,0,3,393.6,Very Low,68798.0,68798.0
30141.61738,0,103,9,72,0,2,1060.310769,Low,23220.0,23220.0
5737.233278,56455,73,17,5,2,8,350.4,Very Low,43478.0,56455.0
16979.79757,35095,73,25,56,0,2,525.6,Very Low,13164.0,35095.0
10915.35877,0,155,9,62,1,8,1116.0,Very Low,39770.0,39770.0
3808.122147,94903,94,3,38,0,1,451.2,Very Low,33191.0,94903.0
5408.911507,80192,67,22,24,0,7,95.193157,Very Low,31383.0,80192.0
13419.39623,0,122,15,11,0,2,827.786203,Very Low,25237.0,25237.0
3237.996209,60244,83,3,72,3,1,326.281835,Very Low,42795.0,60244.0
10357.62776,52735,65,21,19,0,2,123.512596,Very Low,37057.0,52735.0
11619.91802,78275,72,12,36,0,2,25.336642,Very Low,39930.0,78275.0
8209.054963,77282,102,8,54,0,3,489.6,Very Low,23202.0,77282.0
3096.511217,21604,79,14,28,0,1,379.2,Very Low,79487.0,21604.0
4804.35851,51962,125,8,2,4,1,788.206874,Very Low,66620.0,51962.0
4786.054889,0,68,4,67,0,9,489.6,Very Low,43860.0,43860.0
15886.03136,56362,197,30,47,1,6,945.6,Very Low,43091.0,56362.0
5285.079293,85753,66,23,14,1,8,316.8,Very Low,25239.0,85753.0
2945.370362,36167,76,9,79,3,1,364.8,Very Low,26906.0,36167.0
18089.79629,68568,223,5,28,1,6,1070.4,Very Low,45191.0,68568.0
10208.92761,35482,129,21,59,0,3,619.2,Very Low,35773.0,35482.0
20708.25881,92079,65,12,68,1,2,114.798771,Low,15850.0,92079.0
5247.852585,0,77,0,84,0,3,554.4,Very Low,11167.0,11167.0
5179.55248,0,165,29,6,2,1,1188.0,Very Low,21195.0,21195.0
4513.435299,34558,113,32,24,0,1,376.529086,Very Low,12430.0,34558.0
5297.625945,14775,69,11,44,0,5,170.939409,Very Low,20440.0,14775.0
5377.014781,35637,68,13,11,0,9,326.4,Very Low,28928.0,35637.0
7661.388132,66726,97,3,60,1,7,335.840529,Very Low,13457.0,66726.0
2677.279707,0,72,29,86,0,1,345.6,Very Low,66839.0,66839.0
6877.817669,0,96,25,71,0,6,460.8,Very Low,10384.0,10384.0
5714.232848,79719,71,12,87,0,6,425.924132,Very Low,19864.0,79719.0
4929.549699,25632,63,27,52,0,7,351.270869,Very Low,88997.0,25632.0
10484.91535,61108,89,22,93,0,2,49.451117,Very Low,24124.0,61108.0
9490.406534,0,137,34,77,0,4,657.6,Very Low,26630.0,26630.0
7805.31287,21073,106,25,54,1,3,508.8,Very Low,17291.0,21073.0
21274.34205,17932,79,8,38,0,2,379.2,Low,42532.0,17932.0
5838.89915,81082,73,5,85,0,4,281.295903,Very Low,15680.0,81082.0
2677.495763,71684,66,7,17,0,1,196.065149,Very Low,17658.0,71684.0
2374.798861,57338,61,8,48,0,1,292.8,Very Low,16711.0,57338.0
22103.5072,0,102,35,48,0,2,489.6,Low,39913.0,39913.0
2427.770513,24409,62,4,13,0,1,297.6,Very Low,26100.0,24409.0
7294.40195,83488,90,14,20,0,3,432.784577,Very Low,22946.0,83488.0
11360.46496,0,104,29,7,0,2,773.346065,Very Low,19132.0,19132.0
2811.956395,62537,71,19,64,1,1,354.199664,Very Low,28014.0,62537.0
4386.277558,10621,67,28,22,0,5,321.6,Very Low,14170.0,10621.0
6446.918637,43478,80,27,79,0,9,384.0,Very Low,21119.0,43478.0
8427.172486,46503,215,4,21,1,1,1032.0,Very Low,26660.0,46503.0
5290.127299,27179,66,8,91,0,9,344.201601,Very Low,21629.0,27179.0
5592.455266,62229,70,13,26,0,5,336.0,Very Low,25927.0,62229.0
18892.19767,0,92,34,39,1,2,441.6,Low,44388.0,44388.0
13623.62257,67060,126,1,85,4,2,339.000467,Very Low,27658.0,67060.0
25464.82059,13663,97,1,66,0,2,465.6,Low,17576.0,13663.0
2175.624856,0,63,5,79,0,1,453.6,Very Low,58161.0,58161.0
6699.222525,0,99,21,35,1,4,699.67536,Very Low,24964.0,24964.0
9043.678095,97745,113,10,64,0,5,695.136477,Very Low,26409.0,97745.0
4369.041685,26026,116,1,76,1,1,283.670312,Very Low,35011.0,26026.0
51337.90677,72794,164,3,47,1,2,50.454459,High,26906.0,72794.0
28699.89392,47730,91,12,52,0,2,219.440024,Low,83846.0,47730.0
4270.034394,0,122,27,2,0,1,725.870693,Very Low,74454.0,74454.0
5345.994644,0,72,6,67,0,8,345.6,Very Low,31278.0,31278.0
4774.747415,0,70,20,81,0,9,336.0,Very Low,44788.0,44788.0
14727.50526,97785,73,35,36,0,2,236.614219,Very Low,48345.0,97785.0
4755.47946,0,66,27,89,0,3,712.309237,Very Low,20355.0,20355.0
3436.134281,30817,88,25,43,0,1,91.834668,Very Low,24992.0,30817.0
8355.774443,64502,70,22,49,0,2,39.336222,Very Low,70340.0,64502.0
3412.566597,30335,87,17,42,0,1,326.132867,Very Low,21959.0,30335.0
6185.337641,21020,80,1,36,0,4,178.371281,Very Low,26334.0,21020.0
8456.722498,84574,70,13,75,0,2,167.459769,Very Low,61040.0,84574.0
3021.938522,0,84,26,37,0,1,700.725788,Very Low,21986.0,21986.0
6966.142868,0,93,28,3,0,8,436.143226,Very Low,13215.0,13215.0
10083.48688,11828,90,18,84,0,2,571.479602,Very Low,22537.0,11828.0
2539.990699,54889,63,32,94,0,1,302.4,Very Low,53390.0,54889.0
8456.455313,89918,105,15,72,0,9,367.230882,Very Low,72421.0,89918.0
26576.31541,87002,110,27,30,0,2,199.851173,Low,19019.0,87002.0
10963.95723,55687,276,33,91,0,1,1324.8,Very Low,45106.0,55687.0
9671.98323,17103,87,24,29,0,2,417.6,Very Low,18168.0,17103.0
1898.683686,0,70,17,20,5,1,702.020904,Very Low,31562.0,31562.0
8595.146838,28441,73,10,98,0,2,686.020135,Very Low,16181.0,28441.0
5532.753182,91212,69,9,92,0,6,270.311239,Very Low,32627.0,91212.0
9371.773682,66325,117,10,10,0,5,497.719213,Very Low,36881.0,66325.0
3975.321516,67895,101,25,27,4,1,403.937672,Very Low,23830.0,67895.0
4456.016549,29550,114,16,70,1,1,118.750512,Very Low,21986.0,29550.0
3495.891476,10275,97,10,8,0,1,465.6,Very Low,60244.0,10275.0
8512.13221,61725,106,7,70,0,6,508.8,Very Low,86305.0,61725.0
4650.063763,28215,65,15,26,0,3,468.0,Very Low,31093.0,28215.0
13523.12989,10563,121,20,10,0,2,109.814874,Very Low,16976.0,10563.0
4422.409799,0,62,10,97,0,3,722.432062,Very Low,36898.0,36898.0
7320.98824,99722,61,6,48,0,2,292.8,Very Low,41972.0,99722.0
7031.463693,16224,93,13,55,0,9,498.452698,Very Low,18606.0,16224.0
5123.484988,72096,64,24,92,0,5,252.330905,Very Low,26334.0,72096.0
9050.756606,63800,113,9,43,0,4,542.4,Very Low,23931.0,63800.0
10963.95723,55687,276,33,91,0,1,1324.8,Very Low,23300.0,55687.0
6039.020697,0,89,6,49,1,3,640.8,Very Low,36548.0,36548.0
2108.493744,0,61,8,91,0,1,351.85681,Very Low,23566.0,23566.0
9875.092794,29598,87,2,70,0,2,150.926696,Very Low,41167.0,29598.0
6928.601611,22907,180,13,86,2,1,49.18776,Very Low,29111.0,22907.0
14318.44839,22697,186,35,39,1,8,892.8,Very Low,10375.0,22697.0
5107.071054,70174,64,18,80,0,7,128.90032,Very Low,58236.0,70174.0
17223.89108,85378,107,7,4,0,2,513.6,Very Low,36881.0,85378.0
7516.831717,31477,94,22,77,0,3,146.950756,Very Low,36167.0,31477.0
5389.499465,66429,136,35,93,0,1,57.712985,Very Low,16686.0,66429.0
6275.155361,0,90,15,55,0,3,900.242038,Very Low,44619.0,44619.0
4722.237214,0,65,29,32,0,3,655.489027,Very Low,15999.0,15999.0
6282.317743,0,172,23,6,0,1,141.460349,Very Low,20169.0,20169.0
7986.191274,74217,100,35,3,0,6,418.005524,Very Low,33760.0,74217.0
6503.219978,46298,88,11,82,3,4,128.292466,Very Low,50800.0,46298.0
4881.753428,0,135,0,86,0,1,648.0,Very Low,27132.0,27132.0
2514.59196,43860,65,15,58,0,1,156.124914,Very Low,28513.0,43860.0
7955.442668,0,69,11,5,0,2,331.2,Very Low,92921.0,92921.0
4809.21696,48029,61,7,52,0,9,292.8,Very Low,20132.0,48029.0
9696.548818,86830,123,18,5,0,3,480.533246,Very Low,27179.0,86830.0
8709.321889,0,77,29,21,0,2,509.100577,Very Low,33462.0,33462.0
2858.452328,40706,71,30,96,0,1,166.123172,Very Low,22244.0,40706.0
5233.949019,69231,65,19,7,0,9,193.243084,Very Low,28445.0,69231.0
13494.76017,0,132,13,33,0,2,950.4,Very Low,16511.0,16511.0
6870.607058,0,105,5,87,0,3,756.0,Very Low,51020.0,51020.0
5652.72374,16171,74,8,36,0,4,311.004168,Very Low,10710.0,16171.0
2345.262087,51397,61,20,61,0,1,292.8,Very Low,21450.0,51397.0
19688.31898,83879,69,3,66,0,2,212.148485,Low,13483.0,83879.0
7247.206475,63267,92,22,31,0,8,530.340202,Very Low,26335.0,63267.0
6085.304178,44712,82,19,14,2,8,537.78416,Very Low,59414.0,44712.0
5480.070226,59311,69,8,38,0,9,14.812808,Very Low,19121.0,59311.0
6876.309925,81957,86,23,76,0,4,433.426544,Very Low,32375.0,81957.0
5368.887709,59601,67,28,2,0,6,321.6,Very Low,28432.0,59601.0
8283.066678,71034,103,26,15,0,3,494.4,Very Low,71210.0,71034.0
5384.671725,13103,72,21,32,0,7,458.003651,Very Low,19581.0,13103.0
